[ 문제 2번 참고 : 2018년도 기준 cp별로 분류만 했음 ]

      year batter_name    war  cp
927   2018         송민섭 -0.387  우익수
930   2018         강백호  1.437  우익수
988   2018         박찬도 -0.323  우익수
995   2018         이성곤 -0.139  우익수
1007  2018         구자욱  3.907  우익수
1097  2018         이성열  1.529  우익수
1122  2018          호잉  4.823  우익수
1413  2018         손아섭  5.120  우익수
1417  2018         조홍석  0.060  우익수
1700  2018         박건우  3.399  우익수
1710  2018         박준태  0.070  우익수
1786  2018         정진호  0.602  우익수
1910  2018         조용호 -0.271  우익수
